chain,contract_reuse_count,runtime_group_count,contracts_in_group,cumulative_contracts,total_contracts,cumulative_contract_fraction,cumulative_runtime_groups,total_runtime_groups,cumulative_runtime_fraction
ethereum,1,314268,314268,314268,72881396,0.004312046931702571,314268,362813,0.8661982894769482
ethereum,2,13889,27778,342046,72881396,0.004693186722164323,328157,362813,0.9044797182019387
ethereum,3,6004,18012,360058,72881396,0.004940327981642942,334161,362813,0.9210281880748484
ethereum,4,3459,13836,373894,72881396,0.005130170667971288,337620,362813,0.930562025065254
ethereum,5,2357,11785,385679,72881396,0.005291871741864001,339977,362813,0.9370584846739229
ethereum,6,1791,10746,396425,72881396,0.005439316777082591,341768,362813,0.9419949119794495
ethereum,7,1419,9933,406358,72881396,0.005575606702154827,343187,362813,0.9459060177005786
ethereum,8,1231,9848,416206,72881396,0.005710730348798478,344418,362813,0.9492989501478724
ethereum,9,973,8757,424963,72881396,0.005830884468788167,345391,362813,0.9519807724640518
ethereum,10,969,9690,434653,72881396,0.005963840209646918,346360,362813,0.9546515698169581
ethereum,11,771,8481,443134,72881396,0.006080207354974375,347131,362813,0.9567766314878463
ethereum,12,598,7176,450310,72881396,0.006178668696192373,347729,362813,0.9584248634971735
ethereum,13,548,7124,457434,72881396,0.00627641654943053,348277,362813,0.959935283465587
ethereum,14,470,6580,464014,72881396,0.006366700220725739,348747,362813,0.9612307166501751
ethereum,15,427,6405,470419,72881396,0.0064545827305503315,349174,362813,0.9624076314795776
ethereum,16,409,6544,476963,72881396,0.0065443724486287285,349583,362813,0.9635349339742512
ethereum,17,396,6732,483695,72881396,0.006636741700172703,349979,362813,0.9646264053382873
ethereum,18,371,6678,490373,72881396,0.006728370021891457,350350,362813,0.9656489706818664
ethereum,19,334,6346,496719,72881396,0.0068154429972773845,350684,362813,0.9665695551151695
ethereum,20,389,7780,504499,72881396,0.006922191775799684,351073,362813,0.9676417327934776
ethereum,21,253,5313,509812,72881396,0.006995091038047624,351326,362813,0.9683390617205007
ethereum,22,260,5720,515532,72881396,0.007073574715830086,351586,362813,0.9690556843332515
