chain,block_date,active_factory_count
ethereum,2015-08-13,1
ethereum,2015-08-14,1
ethereum,2015-09-02,1
ethereum,2015-09-07,1
ethereum,2015-09-13,3
ethereum,2015-09-14,5
ethereum,2015-09-15,2
ethereum,2015-09-17,1
ethereum,2015-09-20,1
ethereum,2015-09-22,1
ethereum,2015-09-24,3
ethereum,2015-09-30,1
ethereum,2015-10-08,1
ethereum,2015-10-20,2
ethereum,2015-10-22,2
ethereum,2015-10-23,1
ethereum,2015-11-07,6
ethereum,2015-11-08,4
ethereum,2015-11-09,5
ethereum,2015-11-10,2
ethereum,2015-11-28,1
ethereum,2015-12-01,2
ethereum,2015-12-02,4
ethereum,2015-12-03,1
ethereum,2015-12-04,2
ethereum,2015-12-06,1
ethereum,2015-12-09,2
ethereum,2015-12-13,1
ethereum,2015-12-16,1
ethereum,2015-12-21,1
ethereum,2015-12-23,1
ethereum,2015-12-24,1
ethereum,2015-12-25,1
ethereum,2015-12-26,1
ethereum,2015-12-27,1
ethereum,2015-12-28,3
ethereum,2015-12-29,1
ethereum,2015-12-30,1
ethereum,2015-12-31,1
ethereum,2016-01-01,1
ethereum,2016-01-02,1
ethereum,2016-01-03,1
ethereum,2016-01-04,1
ethereum,2016-01-05,1
ethereum,2016-01-06,1
ethereum,2016-01-07,1
ethereum,2016-01-08,1
ethereum,2016-01-09,1
ethereum,2016-01-10,1
ethereum,2016-01-11,1
ethereum,2016-01-12,4
ethereum,2016-01-13,1
ethereum,2016-01-14,1
ethereum,2016-01-15,1
ethereum,2016-01-16,1
ethereum,2016-01-17,1
ethereum,2016-01-18,1
ethereum,2016-01-19,1
ethereum,2016-01-20,1
ethereum,2016-01-21,1
ethereum,2016-01-22,1
ethereum,2016-01-23,1
ethereum,2016-01-24,1
ethereum,2016-01-25,1
ethereum,2016-01-26,2
ethereum,2016-01-27,7
ethereum,2016-01-28,1
ethereum,2016-01-29,1
ethereum,2016-01-30,1
ethereum,2016-01-31,2
ethereum,2016-02-01,2
ethereum,2016-02-02,1
ethereum,2016-02-03,1
ethereum,2016-02-04,1
ethereum,2016-02-05,1
ethereum,2016-02-06,1
ethereum,2016-02-08,2
ethereum,2016-02-09,2
ethereum,2016-02-10,2
ethereum,2016-02-12,1
ethereum,2016-02-13,1
ethereum,2016-02-14,1
ethereum,2016-02-15,1
ethereum,2016-02-16,1
ethereum,2016-02-17,1
ethereum,2016-02-18,7
ethereum,2016-02-19,1
ethereum,2016-02-20,1
ethereum,2016-02-21,4
ethereum,2016-02-22,1
ethereum,2016-02-23,4
ethereum,2016-02-24,1
ethereum,2016-02-25,5
ethereum,2016-02-26,1
ethereum,2016-02-27,1
ethereum,2016-02-28,1
ethereum,2016-02-29,1
ethereum,2016-03-01,1
ethereum,2016-03-02,1
ethereum,2016-03-03,1
ethereum,2016-03-04,1
ethereum,2016-03-05,1
ethereum,2016-03-06,1
ethereum,2016-03-07,1
ethereum,2016-03-08,1
ethereum,2016-03-09,1
ethereum,2016-03-10,1
ethereum,2016-03-11,1
ethereum,2016-03-12,6
ethereum,2016-03-13,1
ethereum,2016-03-14,2
ethereum,2016-03-15,5
ethereum,2016-03-16,2
ethereum,2016-03-17,1
ethereum,2016-03-18,3
ethereum,2016-03-19,1
ethereum,2016-03-20,1
ethereum,2016-03-21,1
ethereum,2016-03-22,5
ethereum,2016-03-23,1
ethereum,2016-03-24,1
ethereum,2016-03-25,1
ethereum,2016-03-26,1
ethereum,2016-03-27,1
ethereum,2016-03-28,5
ethereum,2016-03-29,3
ethereum,2016-03-30,3
ethereum,2016-03-31,2
ethereum,2016-04-01,1
ethereum,2016-04-02,1
ethereum,2016-04-03,2
ethereum,2016-04-04,2
ethereum,2016-04-05,1
ethereum,2016-04-06,1
ethereum,2016-04-07,3
ethereum,2016-04-08,2
ethereum,2016-04-09,2
ethereum,2016-04-10,1
ethereum,2016-04-11,2
ethereum,2016-04-12,1
ethereum,2016-04-13,3
ethereum,2016-04-14,2
ethereum,2016-04-15,3
ethereum,2016-04-16,1
ethereum,2016-04-17,3
ethereum,2016-04-18,3
ethereum,2016-04-19,1
ethereum,2016-04-20,1
ethereum,2016-04-21,2
ethereum,2016-04-22,1
ethereum,2016-04-23,1
ethereum,2016-04-24,6
ethereum,2016-04-25,7
ethereum,2016-04-26,2
ethereum,2016-04-27,1
ethereum,2016-04-28,2
ethereum,2016-04-29,11
ethereum,2016-04-30,13
ethereum,2016-05-01,2
ethereum,2016-05-02,2
ethereum,2016-05-03,2
ethereum,2016-05-04,7
ethereum,2016-05-05,11
ethereum,2016-05-06,20
ethereum,2016-05-07,2
ethereum,2016-05-08,1
ethereum,2016-05-09,5
ethereum,2016-05-10,3
ethereum,2016-05-11,6
ethereum,2016-05-12,6
ethereum,2016-05-13,11
ethereum,2016-05-14,5
ethereum,2016-05-15,4
ethereum,2016-05-16,2
ethereum,2016-05-17,5
ethereum,2016-05-18,16
ethereum,2016-05-19,10
ethereum,2016-05-20,19
ethereum,2016-05-21,2
ethereum,2016-05-22,5
ethereum,2016-05-23,4
ethereum,2016-05-24,3
ethereum,2016-05-25,15
ethereum,2016-05-26,13
ethereum,2016-05-27,5
ethereum,2016-05-28,4
ethereum,2016-05-29,5
ethereum,2016-05-30,5
ethereum,2016-05-31,7
ethereum,2016-06-01,13
ethereum,2016-06-02,13
ethereum,2016-06-03,5
ethereum,2016-06-04,5
ethereum,2016-06-05,5
ethereum,2016-06-06,6
ethereum,2016-06-07,11
ethereum,2016-06-08,20
ethereum,2016-06-09,7
ethereum,2016-06-10,5
ethereum,2016-06-11,5
ethereum,2016-06-12,9
ethereum,2016-06-13,12
ethereum,2016-06-14,8
ethereum,2016-06-15,6
ethereum,2016-06-16,14
ethereum,2016-06-17,12
ethereum,2016-06-18,7
ethereum,2016-06-19,8
ethereum,2016-06-20,5
ethereum,2016-06-21,10
ethereum,2016-06-22,5
ethereum,2016-06-23,4
ethereum,2016-06-24,4
ethereum,2016-06-25,4
ethereum,2016-06-26,3
ethereum,2016-06-27,3
ethereum,2016-06-28,3
ethereum,2016-06-29,4
ethereum,2016-06-30,4
