chain,block_date,create_trace_count
ethereum,2015-08-13,1
ethereum,2015-08-14,1
ethereum,2015-09-02,1
ethereum,2015-09-07,2
ethereum,2015-09-13,3
ethereum,2015-09-14,5
ethereum,2015-09-15,2
ethereum,2015-09-17,2
ethereum,2015-09-20,1
ethereum,2015-09-22,3
ethereum,2015-09-24,9
ethereum,2015-09-30,1
ethereum,2015-10-08,3
ethereum,2015-10-20,16
ethereum,2015-10-22,4
ethereum,2015-10-23,2
ethereum,2015-11-07,12
ethereum,2015-11-08,4
ethereum,2015-11-09,13
ethereum,2015-11-10,2
ethereum,2015-11-28,1
ethereum,2015-12-01,2
ethereum,2015-12-02,4
ethereum,2015-12-03,1
ethereum,2015-12-04,3
ethereum,2015-12-06,1
ethereum,2015-12-09,2
ethereum,2015-12-13,1
ethereum,2015-12-16,1
ethereum,2015-12-21,1
ethereum,2015-12-23,1
ethereum,2015-12-24,1
ethereum,2015-12-25,9
ethereum,2015-12-26,9
ethereum,2015-12-27,10
ethereum,2015-12-28,14
ethereum,2015-12-29,11
ethereum,2015-12-30,5
ethereum,2015-12-31,9
ethereum,2016-01-01,10
ethereum,2016-01-02,4
ethereum,2016-01-03,7
ethereum,2016-01-04,8
ethereum,2016-01-05,7
ethereum,2016-01-06,11
ethereum,2016-01-07,6
ethereum,2016-01-08,11
ethereum,2016-01-09,11
ethereum,2016-01-10,10
ethereum,2016-01-11,11
ethereum,2016-01-12,13
ethereum,2016-01-13,10
ethereum,2016-01-14,11
ethereum,2016-01-15,10
ethereum,2016-01-16,11
ethereum,2016-01-17,10
ethereum,2016-01-18,11
ethereum,2016-01-19,10
ethereum,2016-01-20,10
ethereum,2016-01-21,11
ethereum,2016-01-22,10
ethereum,2016-01-23,10
ethereum,2016-01-24,11
ethereum,2016-01-25,10
ethereum,2016-01-26,13
ethereum,2016-01-27,22
ethereum,2016-01-28,10
ethereum,2016-01-29,11
ethereum,2016-01-30,10
ethereum,2016-01-31,24
ethereum,2016-02-01,13
ethereum,2016-02-02,10
ethereum,2016-02-03,11
ethereum,2016-02-04,10
ethereum,2016-02-05,10
ethereum,2016-02-06,10
ethereum,2016-02-08,10
ethereum,2016-02-09,11
ethereum,2016-02-10,4
ethereum,2016-02-12,1
ethereum,2016-02-13,11
ethereum,2016-02-14,10
ethereum,2016-02-15,10
ethereum,2016-02-16,11
ethereum,2016-02-17,10
ethereum,2016-02-18,20
ethereum,2016-02-19,11
ethereum,2016-02-20,10
ethereum,2016-02-21,15
ethereum,2016-02-22,11
ethereum,2016-02-23,15
ethereum,2016-02-24,11
ethereum,2016-02-25,21
ethereum,2016-02-26,11
ethereum,2016-02-27,10
ethereum,2016-02-28,10
ethereum,2016-02-29,10
ethereum,2016-03-01,11
ethereum,2016-03-02,10
ethereum,2016-03-03,11
ethereum,2016-03-04,10
ethereum,2016-03-05,11
ethereum,2016-03-06,10
ethereum,2016-03-07,10
ethereum,2016-03-08,11
ethereum,2016-03-09,10
ethereum,2016-03-10,11
ethereum,2016-03-11,10
ethereum,2016-03-12,20
ethereum,2016-03-13,10
ethereum,2016-03-14,14
ethereum,2016-03-15,41
ethereum,2016-03-16,15
ethereum,2016-03-17,12
ethereum,2016-03-18,21
ethereum,2016-03-19,12
ethereum,2016-03-20,13
ethereum,2016-03-21,12
ethereum,2016-03-22,51
ethereum,2016-03-23,12
ethereum,2016-03-24,13
ethereum,2016-03-25,13
ethereum,2016-03-26,12
ethereum,2016-03-27,13
ethereum,2016-03-28,23
ethereum,2016-03-29,98
ethereum,2016-03-30,525
ethereum,2016-03-31,15
ethereum,2016-04-01,12
ethereum,2016-04-02,13
ethereum,2016-04-03,13
ethereum,2016-04-04,15
ethereum,2016-04-05,12
ethereum,2016-04-06,13
ethereum,2016-04-07,17
ethereum,2016-04-08,19
ethereum,2016-04-09,16
ethereum,2016-04-10,13
ethereum,2016-04-11,13
ethereum,2016-04-12,13
ethereum,2016-04-13,16
ethereum,2016-04-14,13
ethereum,2016-04-15,15
ethereum,2016-04-16,13
ethereum,2016-04-17,15
ethereum,2016-04-18,15
ethereum,2016-04-19,12
ethereum,2016-04-20,13
ethereum,2016-04-21,15
ethereum,2016-04-22,13
ethereum,2016-04-23,12
ethereum,2016-04-24,18
ethereum,2016-04-25,18
ethereum,2016-04-26,14
ethereum,2016-04-27,12
ethereum,2016-04-28,15
ethereum,2016-04-29,37
ethereum,2016-04-30,50
ethereum,2016-05-01,14
ethereum,2016-05-02,14
ethereum,2016-05-03,13
ethereum,2016-05-04,19
ethereum,2016-05-05,23
ethereum,2016-05-06,34
ethereum,2016-05-07,63
ethereum,2016-05-08,13
ethereum,2016-05-09,16
ethereum,2016-05-10,14
ethereum,2016-05-11,183
ethereum,2016-05-12,72
ethereum,2016-05-13,265
ethereum,2016-05-14,28
ethereum,2016-05-15,16
ethereum,2016-05-16,23
ethereum,2016-05-17,20
ethereum,2016-05-18,35
ethereum,2016-05-19,37
ethereum,2016-05-20,78
ethereum,2016-05-21,17
ethereum,2016-05-22,36
ethereum,2016-05-23,29
ethereum,2016-05-24,20
ethereum,2016-05-25,32
ethereum,2016-05-26,135
ethereum,2016-05-27,19
ethereum,2016-05-28,50
ethereum,2016-05-29,230
ethereum,2016-05-30,73
ethereum,2016-05-31,73
ethereum,2016-06-01,87
ethereum,2016-06-02,89
ethereum,2016-06-03,64
ethereum,2016-06-04,64
ethereum,2016-06-05,102
ethereum,2016-06-06,62
ethereum,2016-06-07,151
ethereum,2016-06-08,240
ethereum,2016-06-09,300
ethereum,2016-06-10,773
ethereum,2016-06-11,839
ethereum,2016-06-12,719
ethereum,2016-06-13,1874
ethereum,2016-06-14,647
ethereum,2016-06-15,247
ethereum,2016-06-16,1945
ethereum,2016-06-17,4060
ethereum,2016-06-18,4999
ethereum,2016-06-19,2599
ethereum,2016-06-20,2655
ethereum,2016-06-21,1447
ethereum,2016-06-22,2351
ethereum,2016-06-23,798
ethereum,2016-06-24,1621
ethereum,2016-06-25,651
ethereum,2016-06-26,826
ethereum,2016-06-27,833
ethereum,2016-06-28,975
ethereum,2016-06-29,884
